"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 11 01:28:14 GMT 2023","Thu May 11 01:28:15 GMT 2023","1005","webkit","","Clear completed button","","","should display the correct text",""
"passed","Thu May 11 01:27:29 GMT 2023","Thu May 11 01:27:29 GMT 2023","597","firefox","","New Todo","","","should clear text input field when an item is added",""
"passed","Thu May 11 01:27:42 GMT 2023","Thu May 11 01:27:43 GMT 2023","1078","firefox","","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu May 11 01:27:26 GMT 2023","Thu May 11 01:27:29 GMT 2023","2232","firefox","","New Todo","","","should allow me to add todo items",""
"passed","Thu May 11 01:27:45 GMT 2023","Thu May 11 01:27:46 GMT 2023","982","firefox","","Routing","","","should respect the back button",""
"passed","Thu May 11 01:27:22 GMT 2023","Thu May 11 01:27:23 GMT 2023","648","chromium","","Routing","","","should respect the back button",""
"passed","Thu May 11 01:27:11 GMT 2023","Thu May 11 01:27:12 GMT 2023","459","chromium","","New Todo","","","should clear text input field when an item is added",""
"passed","Thu May 11 01:27:38 GMT 2023","Thu May 11 01:27:39 GMT 2023","816","firefox","","Editing","","","should cancel edits on escape",""
"passed","Thu May 11 01:27:23 GMT 2023","Thu May 11 01:27:23 GMT 2023","568","chromium","","Routing","","","should allow me to display completed items",""
"passed","Thu May 11 01:27:50 GMT 2023","Thu May 11 01:27:51 GMT 2023","1198","firefox","","","","","get started link",""
"passed","Thu May 11 01:27:14 GMT 2023","Thu May 11 01:27:14 GMT 2023","631","chromium","","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu May 11 01:27:31 GMT 2023","Thu May 11 01:27:32 GMT 2023","875","firefox","","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu May 11 01:27:49 GMT 2023","Thu May 11 01:27:50 GMT 2023","878","firefox","","","","","has title",""
"passed","Thu May 11 01:27:12 GMT 2023","Thu May 11 01:27:12 GMT 2023","547","chromium","","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu May 11 01:28:12 GMT 2023","Thu May 11 01:28:13 GMT 2023","1078","webkit","","Editing","","","should cancel edits on escape",""
"passed","Thu May 11 01:27:37 GMT 2023","Thu May 11 01:27:38 GMT 2023","825","firefox","","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu May 11 01:27:58 GMT 2023","Thu May 11 01:27:59 GMT 2023","1712","webkit","","New Todo","","","should clear text input field when an item is added",""
"passed","Thu May 11 01:27:30 GMT 2023","Thu May 11 01:27:31 GMT 2023","746","firefox","","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu May 11 01:27:13 GMT 2023","Thu May 11 01:27:14 GMT 2023","587","chromium","","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu May 11 01:27:20 GMT 2023","Thu May 11 01:27:20 GMT 2023","551","chromium","","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu May 11 01:28:09 GMT 2023","Thu May 11 01:28:10 GMT 2023","1091","webkit","","Editing","","","should trim entered text",""
"passed","Thu May 11 01:27:43 GMT 2023","Thu May 11 01:27:44 GMT 2023","1100","firefox","","Persistence","","","should persist its data",""
"passed","Thu May 11 01:27:15 GMT 2023","Thu May 11 01:27:15 GMT 2023","562","chromium","","Item","","","should allow me to un-mark items as complete",""
"passed","Thu May 11 01:27:25 GMT 2023","Thu May 11 01:27:26 GMT 2023","791","chromium","","","","","get started link",""
"passed","Thu May 11 01:28:19 GMT 2023","Thu May 11 01:28:21 GMT 2023","1301","webkit","","Routing","","","should respect the back button",""
"passed","Thu May 11 01:28:10 GMT 2023","Thu May 11 01:28:12 GMT 2023","1220","webkit","","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu May 11 01:27:09 GMT 2023","Thu May 11 01:27:11 GMT 2023","1879","chromium","","New Todo","","","should allow me to add todo items",""
"passed","Thu May 11 01:28:01 GMT 2023","Thu May 11 01:28:02 GMT 2023","1113","webkit","","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu May 11 01:27:21 GMT 2023","Thu May 11 01:27:21 GMT 2023","564","chromium","","Persistence","","","should persist its data",""
"passed","Thu May 11 01:27:15 GMT 2023","Thu May 11 01:27:16 GMT 2023","597","chromium","","Item","","","should allow me to edit an item",""
"passed","Thu May 11 01:27:33 GMT 2023","Thu May 11 01:27:34 GMT 2023","782","firefox","","Item","","","should allow me to un-mark items as complete",""
"passed","Thu May 11 01:27:31 GMT 2023","Thu May 11 01:27:31 GMT 2023","799","firefox","","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu May 11 01:27:59 GMT 2023","Thu May 11 01:28:00 GMT 2023","1036","webkit","","New Todo","","","should append new items to the bottom of the list",""
