"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 11 01:02:20 GMT 2023","Thu May 11 01:02:21 GMT 2023","977","firefox","","Editing","","","should save edits on blur",""
"passed","Thu May 11 01:02:43 GMT 2023","Thu May 11 01:02:44 GMT 2023","1216","webkit","","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu May 11 01:02:59 GMT 2023","Thu May 11 01:03:00 GMT 2023","1231","webkit","","Routing","","","should respect the back button",""
"passed","Thu May 11 01:02:49 GMT 2023","Thu May 11 01:02:50 GMT 2023","997","webkit","","Editing","","","should save edits on blur",""
"passed","Thu May 11 01:02:07 GMT 2023","Thu May 11 01:02:07 GMT 2023","644","chromium","","Routing","","","should respect the back button",""
"passed","Thu May 11 01:02:17 GMT 2023","Thu May 11 01:02:18 GMT 2023","785","firefox","","Item","","","should allow me to un-mark items as complete",""
"passed","Thu May 11 01:03:01 GMT 2023","Thu May 11 01:03:02 GMT 2023","1131","webkit","","Routing","","","should allow me to display all items",""
"passed","Thu May 11 01:01:57 GMT 2023","Thu May 11 01:01:57 GMT 2023","485","chromium","","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu May 11 01:02:22 GMT 2023","Thu May 11 01:02:23 GMT 2023","1546","firefox","","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu May 11 01:01:59 GMT 2023","Thu May 11 01:01:59 GMT 2023","560","chromium","","Item","","","should allow me to mark items as complete",""
"passed","Thu May 11 01:02:09 GMT 2023","Thu May 11 01:02:10 GMT 2023","536","chromium","","","","","has title",""
"passed","Thu May 11 01:02:31 GMT 2023","Thu May 11 01:02:32 GMT 2023","939","firefox","","Routing","","","should allow me to display all items",""
"passed","Thu May 11 01:02:36 GMT 2023","Thu May 11 01:02:39 GMT 2023","2444","webkit","","New Todo","","","should allow me to add todo items",""
"passed","Thu May 11 01:02:14 GMT 2023","Thu May 11 01:02:15 GMT 2023","737","firefox","","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu May 11 01:02:29 GMT 2023","Thu May 11 01:02:29 GMT 2023","778","firefox","","Routing","","","should allow me to display active items",""
"passed","Thu May 11 01:02:23 GMT 2023","Thu May 11 01:02:24 GMT 2023","764","firefox","","Editing","","","should cancel edits on escape",""
"passed","Thu May 11 01:02:48 GMT 2023","Thu May 11 01:02:49 GMT 2023","995","webkit","","Editing","","","should hide other controls when editing",""
"passed","Thu May 11 01:02:42 GMT 2023","Thu May 11 01:02:43 GMT 2023","1120","webkit","","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu May 11 01:02:27 GMT 2023","Thu May 11 01:02:27 GMT 2023","788","firefox","","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu May 11 01:02:05 GMT 2023","Thu May 11 01:02:06 GMT 2023","582","chromium","","Persistence","","","should persist its data",""
"passed","Thu May 11 01:02:50 GMT 2023","Thu May 11 01:02:51 GMT 2023","966","webkit","","Editing","","","should trim entered text",""
"passed","Thu May 11 01:02:58 GMT 2023","Thu May 11 01:02:59 GMT 2023","1141","webkit","","Routing","","","should allow me to display active items",""
"passed","Thu May 11 01:01:57 GMT 2023","Thu May 11 01:01:58 GMT 2023","518","chromium","","Mark all as completed","","","should allow me to mark all items as completed",""
